sample	label	vaf_truth	site_counts_path	sample_code	mixture_fraction_A	assay	lab	input	biosample
SRR13385614	blank	0	results/interrogate/SRR13385614.tsv	Bf	0	ILM2	ST10	25ng	SAMN16786373
SRR13385625	blank	0	results/interrogate/SRR13385625.tsv	Bf	0	ILM2	ST10	25ng	SAMN16786373
SRR13385636	blank	0	results/interrogate/SRR13385636.tsv	Bf	0	ILM2	ST10	25ng	SAMN16786373
SRR13385637	blank	0	results/interrogate/SRR13385637.tsv	Bf	0	ILM2	ST10	25ng	SAMN16786373
SRR13385617	blank	0	results/interrogate/SRR13385617.tsv	Bf	0	ILM2	ST23	25ng	SAMN16786373
SRR13385618	blank	0	results/interrogate/SRR13385618.tsv	Bf	0	ILM2	ST23	25ng	SAMN16786373
SRR13385619	blank	0	results/interrogate/SRR13385619.tsv	Bf	0	ILM2	ST23	25ng	SAMN16786373
SRR13385620	blank	0	results/interrogate/SRR13385620.tsv	Bf	0	ILM2	ST23	25ng	SAMN16786373
SRR13385590	blank	0	results/interrogate/SRR13385590.tsv	Bf	0	ILM2	ST29	25ng	SAMN16786373
SRR13385591	blank	0	results/interrogate/SRR13385591.tsv	Bf	0	ILM2	ST29	25ng	SAMN16786373
SRR13385593	blank	0	results/interrogate/SRR13385593.tsv	Bf	0	ILM2	ST29	25ng	SAMN16786373
SRR13385594	blank	0	results/interrogate/SRR13385594.tsv	Bf	0	ILM2	ST29	25ng	SAMN16786373
SRR13385566	tumor	0.02	results/interrogate/SRR13385566.tsv	Ef	0.04	ILM2	ST10	10ng	SAMN16786375
SRR13385567	tumor	0.02	results/interrogate/SRR13385567.tsv	Ef	0.04	ILM2	ST10	10ng	SAMN16786375
SRR13385630	tumor	0.02	results/interrogate/SRR13385630.tsv	Ef	0.04	ILM2	ST10	25ng	SAMN16786375
SRR13385631	tumor	0.02	results/interrogate/SRR13385631.tsv	Ef	0.04	ILM2	ST10	25ng	SAMN16786375
SRR13385632	tumor	0.02	results/interrogate/SRR13385632.tsv	Ef	0.04	ILM2	ST10	25ng	SAMN16786375
SRR13385633	tumor	0.02	results/interrogate/SRR13385633.tsv	Ef	0.04	ILM2	ST10	25ng	SAMN16786375
SRR13385634	tumor	0.02	results/interrogate/SRR13385634.tsv	Ef	0.04	ILM2	ST10	10ng	SAMN16786375
SRR13385635	tumor	0.02	results/interrogate/SRR13385635.tsv	Ef	0.04	ILM2	ST10	10ng	SAMN16786375
SRR13385604	tumor	0.02	results/interrogate/SRR13385604.tsv	Ef	0.04	ILM2	ST23	25ng	SAMN16786375
SRR13385605	tumor	0.02	results/interrogate/SRR13385605.tsv	Ef	0.04	ILM2	ST23	25ng	SAMN16786375
SRR13385606	tumor	0.02	results/interrogate/SRR13385606.tsv	Ef	0.04	ILM2	ST23	25ng	SAMN16786375
SRR13385607	tumor	0.02	results/interrogate/SRR13385607.tsv	Ef	0.04	ILM2	ST23	25ng	SAMN16786375
SRR13385608	tumor	0.02	results/interrogate/SRR13385608.tsv	Ef	0.04	ILM2	ST23	10ng	SAMN16786375
SRR13385609	tumor	0.02	results/interrogate/SRR13385609.tsv	Ef	0.04	ILM2	ST23	10ng	SAMN16786375
SRR13385610	tumor	0.02	results/interrogate/SRR13385610.tsv	Ef	0.04	ILM2	ST23	10ng	SAMN16786375
SRR13385611	tumor	0.02	results/interrogate/SRR13385611.tsv	Ef	0.04	ILM2	ST23	10ng	SAMN16786375
SRR13385577	tumor	0.02	results/interrogate/SRR13385577.tsv	Ef	0.04	ILM2	ST29	25ng	SAMN16786375
SRR13385578	tumor	0.02	results/interrogate/SRR13385578.tsv	Ef	0.04	ILM2	ST29	25ng	SAMN16786375
SRR13385579	tumor	0.02	results/interrogate/SRR13385579.tsv	Ef	0.04	ILM2	ST29	25ng	SAMN16786375
SRR13385580	tumor	0.02	results/interrogate/SRR13385580.tsv	Ef	0.04	ILM2	ST29	25ng	SAMN16786375
SRR13385582	tumor	0.02	results/interrogate/SRR13385582.tsv	Ef	0.04	ILM2	ST29	10ng	SAMN16786375
SRR13385583	tumor	0.02	results/interrogate/SRR13385583.tsv	Ef	0.04	ILM2	ST29	10ng	SAMN16786375
SRR13385584	tumor	0.02	results/interrogate/SRR13385584.tsv	Ef	0.04	ILM2	ST29	10ng	SAMN16786375
SRR13385585	tumor	0.02	results/interrogate/SRR13385585.tsv	Ef	0.04	ILM2	ST29	10ng	SAMN16786375
SRR13385570	tumor	0.1	results/interrogate/SRR13385570.tsv	Df	0.2	ILM2	ST10	25ng	SAMN16786374
SRR13385581	tumor	0.1	results/interrogate/SRR13385581.tsv	Df	0.2	ILM2	ST10	25ng	SAMN16786374
SRR13385592	tumor	0.1	results/interrogate/SRR13385592.tsv	Df	0.2	ILM2	ST10	25ng	SAMN16786374
SRR13385603	tumor	0.1	results/interrogate/SRR13385603.tsv	Df	0.2	ILM2	ST10	25ng	SAMN16786374
SRR13385612	tumor	0.1	results/interrogate/SRR13385612.tsv	Df	0.2	ILM2	ST23	25ng	SAMN16786374
SRR13385613	tumor	0.1	results/interrogate/SRR13385613.tsv	Df	0.2	ILM2	ST23	25ng	SAMN16786374
SRR13385615	tumor	0.1	results/interrogate/SRR13385615.tsv	Df	0.2	ILM2	ST23	25ng	SAMN16786374
SRR13385616	tumor	0.1	results/interrogate/SRR13385616.tsv	Df	0.2	ILM2	ST23	25ng	SAMN16786374
SRR13385586	tumor	0.1	results/interrogate/SRR13385586.tsv	Df	0.2	ILM2	ST29	25ng	SAMN16786374
SRR13385587	tumor	0.1	results/interrogate/SRR13385587.tsv	Df	0.2	ILM2	ST29	25ng	SAMN16786374
SRR13385588	tumor	0.1	results/interrogate/SRR13385588.tsv	Df	0.2	ILM2	ST29	25ng	SAMN16786374
SRR13385589	tumor	0.1	results/interrogate/SRR13385589.tsv	Df	0.2	ILM2	ST29	25ng	SAMN16786374
